Florence,Alabama,40059,34.79981,-87.677251
Birmingham,Alabama,212113,33.5206608,-86.80249
Auburn,Alabama,58582,32.6098566,-85.48078249999999
Dothan,Alabama,68001,31.2232313,-85.39048879999999
Madison,Alabama,45799,34.6992579,-86.7483318
Hoover,Alabama,84126,33.405386699999994,-86.8113781
Tuscaloosa,Alabama,95334,33.2098407,-87.5691735
Huntsville,Alabama,186254,34.730368799999994,-86.5861037
Mobile,Alabama,194899,30.6953657,-88.0398912
Montgomery,Alabama,201332,32.366805199999995,-86.2999689
Phenix City,Alabama,37498,32.4709761,-85.0007653
Decatur,Alabama,55816,34.6059253,-86.9833417
Anchorage,Alaska,300950,61.2180556,-149.90027780000003
Prescott,Arizona,40590,34.540024200000005,-112.4685025
Gilbert,Arizona,229972,33.3528264,-111.789027
Goodyear,Arizona,72864,33.4353394,-112.3576567
Tucson,Arizona,526116,32.2217429,-110.926479
Bullhead City,Arizona,39383,35.1359386,-114.5285981
Scottsdale,Arizona,226918,33.494170399999994,-111.9260519
Lake Havasu City,Arizona,52844,34.483901,-114.3224548
Maricopa,Arizona,45508,33.058106300000006,-112.0476423
Surprise,Arizona,123546,33.62923370000001,-112.3679279
Apache Junction,Arizona,37130,33.4150485,-111.5495777
Prescott Valley,Arizona,39791,34.6100243,-112.315721
Buckeye,Arizona,56683,33.3703197,-112.58377659999998
Oro Valley,Arizona,41627,32.3909071,-110.96648799999998
Chandler,Arizona,249146,33.3061605,-111.8412502
Flagstaff,Arizona,68667,35.1982836,-111.651302
Yuma,Arizona,91923,32.6926512,-114.6276916
Casa Grande,Arizona,50111,32.8795022,-111.7573521
Mesa,Arizona,457587,33.4151843,-111.8314724
Marana,Arizona,38290,32.436381,-111.2224422
Glendale,Arizona,234632,33.538652299999995,-112.1859866
Tempe,Arizona,168228,33.4255104,-111.9400054
Peoria,Arizona,162592,33.5805955,-112.2373779
Sierra Vista,Arizona,45129,31.5455001,-110.27728559999998
Avondale,Arizona,78822,33.4355977,-112.3496021
Phoenix,Arizona,1513367,33.4483771,-112.0740373
Conway,Arkansas,63816,35.0886963,-92.4421011
Fayetteville,Arkansas,78960,36.0625795,-94.1574263
Springdale,Arkansas,75229,36.18674420000001,-94.1288141
Fort Smith,Arkansas,87650,35.385924200000005,-94.3985475
Bentonville,Arkansas,40167,36.3728538,-94.2088172
Little Rock,Arkansas,197357,34.7464809,-92.2895948
Jonesboro,Arkansas,71551,35.8422967,-90.704279
Pine Bluff,Arkansas,46094,34.2284312,-92.0031955
North Little Rock,Arkansas,66075,34.769535999999995,-92.2670941
Rogers,Arkansas,60112,36.3320196,-94.1185366
Novato,California,54194,38.1074198,-122.5697032
Rancho Cordova,California,67911,38.5890723,-121.302728
Palmdale,California,157161,34.5794343,-118.11646129999998
Santa Cruz,California,62864,36.9741171,-122.0307963
Paramount,California,54980,33.8894598,-118.15979109999998
Mission Viejo,California,96346,33.6000232,-117.6719953
Lompoc,California,43509,34.6391501,-120.4579409
Fremont,California,224922,37.548269700000006,-121.9885719
Hesperia,California,92147,34.4263886,-117.3008784
Highland,California,54291,34.1283442,-117.2086513
Anaheim,California,345012,33.8352932,-117.9145036
Norwalk,California,106589,33.9022367,-118.081733
Cathedral City,California,52977,33.780538799999995,-116.4668036
Beaumont,California,40481,33.929460600000006,-116.977248
Monrovia,California,37101,34.14426160000001,-118.0019482
Lincoln,California,45237,38.891565,-121.29300790000002
Sunnyvale,California,147559,37.36883,-122.0363496
San Buenaventura (Ventura),California,108817,34.274646000000004,-119.22903159999998
Burbank,California,104709,34.18083920000001,-118.30896609999998
Coachella,California,43092,33.6803003,-116.173894
Redondo Beach,California,67815,33.8491816,-118.3884078
Fresno,California,509924,36.7468422,-119.7725868
Ceres,California,46714,37.5949316,-120.9577098
Gilroy,California,51701,37.0057816,-121.5682751
Camarillo,California,66086,34.216393700000005,-119.0376023
Bell Gardens,California,42889,33.9652918,-118.1514588
